Table,Field,Description,DataType,Required,Validation,,ClinPath field,team_Hafler type,ClinPath description,
STUDY,project_name,Project Name:   A Title of the overall project. A unique and clear title of the Team's project.,String,Required,,,,,,bard
STUDY,project_dataset,"Dataset Name:   A unique name is required for each data submission, as one project can generate and submit multiple datasets. ",String,Required,,,,,,
STUDY,project_description,Project Description:   Brief description of the goals and objectives of the project.,String,Required,,,,,,
STUDY,ASAP_team_name,"ASAP Team Name:   Name of the ASAP CRN Team. i.e. ""TEAM-LEE"",""TEAM-HAFLER"",""TEAM-HARDY"",etc.",Enum,Required,"[""TEAM-LEE"",""TEAM-HAFLER"",""TEAM-HARDY""]",,,,,
STUDY,ASAP_lab_name,Lab Name. :   Lab name that is submitting dataset for the ASAP CRN Team.,String,Required,,,,,,
STUDY,PI_full_name,"Principal Investigator Name.:   Full name of the lab Principal Investigator. Format:  First name, Initial, Last name",String,Required,,,,,,
STUDY,PI_email,Principal Investigator E-mail.:   E-mail address of the Principle Investigator of the Lab submitting the data.,String,Required,,,,,,
STUDY,contributor_names,"Contributor(s).:   Names of all contributors to the dataset. Format:  First name, Initial, Last name ; First name, Initial, Last name ; ...",String,Required,,,,,,
STUDY,submitter_name,Data Submitter Name.:   Full name of individual submitting data.,String,Required,,,,,,
STUDY,submittor_email,Data Submitter E-Mail.:   Email address of individual submitting data.,String,Required,,,,,,
STUDY,ASAP_grant_id,ASAP Grant ID.:   ID of the ASAP grant funding the study.  e.g. ASAP-000xxx,String,Required,,,,,,
STUDY,other_funding_source,Other Funding.:   Details of other funding contributing to data generation.,String,Required,,,,,,
STUDY,publication_DOI,bioRxiv DOI.:   Digital Object Identifer for pre-print(s). NA if not available.,String,Required,,,,,,
STUDY,publication_PMID,PubMed ID.:   Unique identifier for journal articles/abstracts in PubMed. NA if not available.,String,Required,,,,,,
STUDY,number_of_brain_samples,Number of Brain Samples.:   Total number of brain tissue samples in the dataset.,Integer,Required,,,,,,
STUDY,brain_regions,Brain Regions.:   List of all anatomical origins of brain samples.  This should be as specific as possible for this field.,String,Required,,,,,,
STUDY,types_of_samples,"Sample Type. :   
Description of samples.  Currently, this is ONLY: late-stage PD and control postmortem brains",String,Required,,,,,,
STUDY,PI_ORCHID,PI ORCID.:   Principle investigator ,String,Optional,,,,,,
STUDY,PI_google_scholar_id,PI Google Scholar ID.:   ,String,Optional,,,,,,
STUDY,DUA_version,DUA Version. :   ASAP Access & Use Policy,String,Required,,,,,,
STUDY,metadata_version_date,Metadata Version and Date.  :   Metadata Version and Date,String,Optional,,,,,,
SUBJECT,subject_id,The Subject ID.  This will be a unique ID for the subject.  Please submit the subject ID used internally.  In the harmonized dataset this may be modified by the ASAP team to prevent naming collisions.  ,String,Required,,,,,,
SUBJECT,source_subject_id,Source Subject ID.:   Subject ID issued by providing brain bank.,String,Required,,,path_brain_case_id_brain_bank,Free text,ID of the brain from which the sample is derived (this ID is provided by the brain bank),
SUBJECT,biobank_name,Biobank Name.:   Name of the biobank from which the samples were sourced.,String,Required,,,brain_bank_name,Dropdown,Location of the brain bank from which the sample is acquired,
SUBJECT,organism,"Organism.:   Organism of the subject. Currently this is ONLY: ""Human""",Enum,Required,"[""Human"", ""Mouse"",""Dog"",""Fly"",""Other""]",,,,,
